Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,2.2uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",D_SOD-123_Reversible_THT,22,1N4148W,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Socket,
"J2, J6",Trackpoint_PCB_Connector,2,Conn_01x12_Socket,
J4,TP_Conn_Sensor2PCB,1,Conn_01x04,
J5,Trackpoint_Connector_Reversible,1,Conn_01x04,
"JP1, JP2, JP3, JP4",Reversible-Jumper,4,~,
Nice!View1,Nice!View,1,~,
"PSW1, PSW2",switch-MSK-12C02-smd,2,SW_Push_SPDT,
"R1, R2",0402,2,4.7k,
R3,0402,1,100k,
"RSW1, RSW2",SW_SPST_B3U-1000P,2,SW_Push,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S2, S20, S21, S3, S4, S5, S6, S7, S8, S9",wubbo-choc-socket-reversible,20,SW_Push_45deg,
S19,SW_PG1350_reversible,1,SW_Push_45deg,
"SW1, SW22",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
U1,ProMicro_unrouted_MAC8,1,nice_nano,
U2,trackpoint_mount_t430,1,~,
