Designator,Mid X,Mid Y,Rotation,Layer
C1,101.359,-100.509,0.0,bottom
D1,68.93248,-94.223807,185.0,top
D10,124.340203,-81.364252,180.0,top
D11,124.340202,-64.364252,180.0,top
D12,124.340201,-47.364251,180.0,top
D13,142.340197,-84.364247,180.0,top
D14,132.1956,-63.6028,180.0,top
D15,142.340199,-50.36425,180.0,top
D16,160.3124,-79.935,180.0,top
D17,160.2616,-63.0694,180.0,top
D18,166.8656,-55.3732,180.0,top
D19,146.729488,-108.437334,179.0,top
D2,67.450832,-77.288498,185.0,top
D20,165.570393,-112.929821,154.0,top
D21,180.423757,-125.254202,154.0,top
D22,192.4942,-85.523,0.0,bottom
D3,65.969183,-60.353188,185.0,top
D4,86.863984,-92.655004,185.0,top
D5,85.382336,-75.719694,185.0,top
D6,83.900689,-58.784384,185.0,top
D7,104.863203,-83.396024,183.0,top
D8,103.973491,-66.419322,183.0,top
D9,103.083782,-49.442618,183.0,top
H1,193.18,-102.3378,0.0,top
H2,76.848,-80.316,0.0,top
H4,113.677888,-45.009657,0.0,top
H5,196.8884,-41.1746,0.0,top
H6,134.0996,-108.764,0.0,top
J1,188.6472,-78.097956,90.0,top
J2,101.4172,-93.6546,270.0,top
J4,114.4922,-87.3546,270.0,bottom
J5,151.397,-82.2718,90.0,top
J6,101.4172,-100.1546,90.0,bottom
JP1,186.469,-69.9232,90.0,top
JP2,184.691,-69.9232,90.0,top
JP3,182.9384,-69.9232,90.0,top
JP4,181.1912,-69.9274,90.0,top
Nice!View1,183.7312,-56.2314,0.0,top
PSW1,183.906801,-37.741801,270.0,top
PSW2,183.909401,-37.7382,270.0,bottom
R1,101.486,-94.9972,180.0,bottom
R2,101.4098,-89.0028,0.0,top
R3,101.3457,-99.5692,0.0,bottom
RSW1,178.399,-77.926599,0.0,top
RSW2,178.399,-77.926599,180.0,bottom
S1,68.267368,-88.962674,5.0,top
S10,124.407594,-75.870165,0.0,top
S11,124.40759,-58.870168,0.0,top
S12,124.407591,-41.870167,0.0,top
S13,142.407589,-78.870164,0.0,top
S14,142.397587,-63.555167,180.0,top
S15,142.407591,-44.870167,0.0,top
S16,160.39759,-85.555169,180.0,top
S17,160.397593,-68.555169,180.0,top
S18,160.407591,-49.870168,0.0,top
S19,146.873047,-103.78755,180.0,top
S2,66.785719,-72.027366,5.0,top
S20,168.72666,-108.761486,334.0,top
S21,183.828636,-115.605602,64.0,top
S3,65.304073,-55.092056,5.0,top
S4,86.19887,-87.393872,5.0,top
S5,84.717226,-70.458561,5.0,top
S6,83.235575,-53.523251,5.0,top
S7,104.490799,-78.036793,3.0,top
S8,103.601084,-61.060091,3.0,top
S9,102.711374,-44.083388,3.0,top
SW1,146.873047,-104.03755,90.0,top
SW22,184.420999,-91.2126,0.0,top
U1,183.743788,-54.496555,270.0,top
