Designator,Mid X,Mid Y,Rotation,Layer
D1,40.409517,-90.195029,185.0,top
D10,95.81724,-77.335474,180.0,top
D11,95.81724,-60.335474,180.0,top
D12,95.817239,-43.335473,180.0,top
D13,113.886066,-80.333674,179.0,top
D14,114.182757,-63.336264,179.0,top
D15,114.479449,-46.338854,179.0,top
D16,131.954936,-85.643842,178.0,top
D17,132.548228,-68.654201,178.0,top
D18,133.14152,-51.664555,178.0,top
D19,118.206525,-104.408556,179.0,top
D2,38.927869,-73.25972,185.0,top
D20,137.047431,-108.901042,154.0,top
D21,159.386425,-114.196378,244.0,top
D22,160.101626,-79.855578,180.0,bottom
D3,37.446221,-56.324409,185.0,top
D4,58.341021,-88.626225,185.0,top
D5,56.859374,-71.690916,185.0,top
D6,55.377726,-54.755606,185.0,top
D7,76.340241,-79.367246,183.0,top
D8,75.450529,-62.390543,183.0,top
D9,74.56082,-45.413839,183.0,top
J1,160.213026,-72.168777,90.0,top
PSW1,155.294826,-34.334979,270.0,top
PSW2,155.297426,-34.331378,270.0,bottom
RSW1,138.177427,-35.684977,270.0,top
RSW2,138.177427,-35.684977,270.0,bottom
S1,39.744406,-84.933897,5.0,top
S10,95.884631,-71.841388,0.0,top
S11,95.884628,-54.841389,0.0,top
S12,95.884629,-37.841388,0.0,top
S13,114.100075,-74.885149,359.0,top
S14,114.396765,-57.887739,359.0,top
S15,114.693458,-40.89033,359.0,top
S16,132.315495,-80.242539,358.0,top
S17,132.908788,-63.252894,358.0,top
S18,133.502077,-46.26325,358.0,top
S19,118.420533,-98.96003,359.0,top
S2,38.262757,-67.998588,5.0,top
S20,140.203699,-104.732707,334.0,top
S21,155.218089,-111.040111,64.0,top
S3,36.781111,-51.063278,5.0,top
S4,57.675909,-83.365095,5.0,top
S5,56.194264,-66.429784,5.0,top
S6,54.712613,-49.494474,5.0,top
S7,75.967835,-74.008015,3.0,top
S8,75.078121,-57.031312,3.0,top
S9,74.18841,-40.05461,3.0,top
SW22,154.564425,-85.011777,0.0,top
U1,155.220825,-50.467776,270.0,top
